username,waktu,konten
Humas Polda Bali,23-05-2025 10:06,"Humas Polda Bali Humas Polda Bali @polda_bali · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., mengapresiasi  Polri  yang dinilai bergerak cepat alias gercep dalam menangani konten menyimpang hubungan sedarah atau inses dan pornografi yang dimuat dalam grup Facebook 'Fantasi Sedarah' dan 'Suka Duka.’ 1 1 1 2 2 2 27 27 27"
humasacehtimurpoldaaceh,23-05-2025 14:43,"humasacehtimurpoldaaceh humasacehtimurpoldaaceh @polresatim · BHABINKAMTIBMAS POLSEK IDI TUNONG PANTAU PENYALURAN PUPUK UREA NON SUBSIDI

Pendampingan oleh Bhabinkamtibmas bertujuan untuk memastikan distribusi pupuk non subsidi berjalan lancar, tepat sasaran, dan tanpa kendala. @DivHumas_Polri @bidhumasaceh https:// binkamtibmas-polsek-idi-tunong-pantau-penyaluran-pupuk-urea-non-subsidi/ … 2 2 2 7 7 7"
Saraswati,23-05-2025 10:07,"Saraswati Saraswati @kusuma12197 · Kalau tidak Percaya dgn KABARESKRIM  POLRI  kenapa buat pengaduan ke BARESKRIM  POLRI .

Sdh buat pengaduan, kok meragukan bahkan tidak Percaya... TOLOL bin GOBLOK itu namanya.... javawarior javawarior @Pendekar969 · ""Penampakan Ijasah Pak Jokowi""

Diperlihatkan saat konfresi pers di BARESKRIM POLRI. 

Menjawab seluruh DUMAS yg dilakukan oleh TPUA

Hanya orang BODOH, TOLOL, PEKOK dan Sengaja ingin buat Kegaduhan, yg Masih meragukan Ke Aslian Ijasah Pak Jokowi 3 3 3 10 10 10 11 11 11 140 140 140"
COBRA 3131,23-05-2025 11:36,"COBRA 3131 COBRA 3131 @C0BRA3131 · Polri  kecewakan rakyat !!!
Harusnya tangkap Koruptor OCCRP.
Bukan malahan merekayasa hasil Puslabfor yg udah Profesional melakukan rekayasa hasil forensik.
Ini daftarnya !!! #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 2 2 2 15 15 15 22 22 22 213 213 213"
Trio Kwek Kwek,23-05-2025 13:05,Trio Kwek Kwek Trio Kwek Kwek @TrioKwekKwek555 · @FitraYouse POLRI  bukan tempat legalisir ijazah Jokowi  #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 3 3 3 2 2 2 13 13 13
__,23-05-2025 17:28,__ __ @kissedbyjude · emosi bgt gw liat data ini. itu  polri  dr anggaran 2025 nangkring di top3 gaguna bgt ajg anggaran segitu hasilnya apa cok. Jejak digital. Jejak digital. @ARSIPAJA · 3 3 3 2 2 2 113 113 113
humasacehtimurpoldaaceh,23-05-2025 11:13,"humasacehtimurpoldaaceh humasacehtimurpoldaaceh @polresatim · GANDENG TOKOH PEMUDA, UPAYA POLSEK SIMPANG ULIM ANTISIPASI AKSI PREMANISME

Dengan menggandeng tokoh pemuda, kegiatan ini juga dirancang untuk mempererat hubungan antara  Polri  dan masyarakat. @DivHumas_Polri @bidhumasaceh https:// pemuda-upaya-polsek-simpang-ulim-antisipasi-aksi-premanisme/ … 4 4 4 8 8 8"
PokoPoko,23-05-2025 08:29,"PokoPoko PokoPoko @sijionesatu · @somexthread Sudah kasih ktp, ijinkan masuk dulu pak, apalagi rumah sendiri, musyawarah cari solusi dirumah warganya bersama rt/rw  @DivHumas_Polri  coba pak check ini ormas berbaju satpam / bukan 18 18 18 1.6K 1.6K 1.6K"
Polres Tolikara,23-05-2025 10:39,"Polres Tolikara Polres Tolikara @TolikaraPolres · Polda Papbar melalui Polres Kaimana berhasil ungkap praktik penambangan emas tanpa izin di wilayah Distrik Teluk Etna, Kaimana, Papua Barat. Dari hasil pengungkapan, Kepolisian amankan lima orang pelaku penambangan emas tanpa izin. Komitmen  Polri #ProfesionalTegakkanHukum 3 3 3 19 19 19"
Kimmy,23-05-2025 09:54,Kimmy Kimmy @Kimmy77079506 · Polri  terus berupaya untuk sapu bersih pemberantasan Judol di seluruh Indonesia   #ProfesionalTegakkanHukum  Tuntas Ungkap Kejahatan 2 2 2 13 13 13
