username,waktu,konten,tweet_length
Humas Polda Jawa Timur,2025-05-23 09:38:00,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Direktorat Tindak Pidana Siber Bareskrim Polri bersama Direktorat Perlindungan Perempuan dan Anak (PPA)mengungkap kasus penyebaran konten pornografi anak melalui grup Facebook ""Fantasi Sedarah"" dan ""Suka Duka"".Komitmen Polri #ProfesionalTegakkanHukum Serta Tuntas Ungkap Kejahatan 14 27 35 1.1K 1.1K 1.1K",368
Divisi Humas Polri,2025-05-23 09:27:00,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Satgas Gakkum Operasi Damai Cartenz 2025 resmi menyerahkan tersangka Aske Mabel beserta barang bukti kepada Kejaksaan Negeri Wamena, Rabu (21/5). Tersangka diketahui terlibat kasus pencurian dengan pemberatan dan kepemilikan senjata api ilegal. Adapun barang bukti yang diserahkan",336
Divisi Humas Polri,2025-05-23 09:27:00,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Polri tidak memberi ruang bagi aksi premanisme dan anarki. Kali ini, seorang pria merusak kendaraan yang tengah melintas di Kecamatan Besitang, Kabupaten Langkat, Sumatera Utara. Menindaklanjuti insiden tersebut, Polri melalui Polres Langkat bergerak cepat mengamankan pelaku yang",336
Divisi Humas Polri,2025-05-23 09:17:00,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat Polri atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. Ia menilai langkah tegas ini sebagai bentuk nyata kehadiran negara dalam melindungi masyarakat",336
joe kissanda,2025-05-23 09:06:00,"joe kissanda joe kissanda @joe_pride888 · Konpers Bareskrim ttg Ijazah palsu bukti klo polri dibawah kendali Jokowi Tanpa ijazah asli kecuali silde spt umumnya konpers kasus yg dpt atensi netizens, Parcok nyata bela Jokowi & memutus scr sepihak yg sejatinya domain pengadilan Bukti identik vs Otentik dgn foto copy ? 3 11 1.2K 1.2K 1.2K",336
Divisi Humas Polri,2025-05-23 09:02:00,Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Polri melalui jajaran Dittipidsiber Bareskrim Polri bersama Direktorat Perlindungan Perempuan dan Anak (PPA) berhasil mengungkap kasus penyebaran pornografi anak yang dilakukan melalui grup Facebook “Fantasi Sedarah” dan “Suka Duka”. Sebanyak enam tersangka ditangkap di wilayah,334
Artanabil,2025-05-23 09:01:00,"Gagal 3 periode, Jokowi pasang strategi 3 kaki: 1. menyusup di kabinet Prabowo 2. mengkondisikan polri loyal kepada dirinya, bukan ke Prabowo 3. melindungi wapres gibran 16/5/2025: https:// atkan-prabowo-amien-rais-sebut-partai-cokelat-dipakai-jokowi-untuk-jadikan-gibran-presiden/?s=09 … #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 2 5 49",347
Bang Jarwo,2025-05-23 08:30:00,"Bang Jarwo Bang Jarwo @BangJarwoSopo7 · Aneh kinerja #POLRI presisi kepemimpinan @ListyoSigitP sangat TIDAK PROFESIONAL Suluh98 Suluh98 @_Haris_Srg · Gak ditunjukan yg Asli malah diminta yg ditampilkan dilayar adalah Asli. Kok makin tuman saja ya? Apakah kita satu republik ini harus BODOH utk SATU ORANG WARGA NEGARA? Hallo @prabowo kami dah capek loh diam, sudah letih melihat ""kenakalan-kenakalan"" dan tipu daya itu. Tolonglah! x.com/tvonenews/stat… 2 15",457
PokoPoko,2025-05-23 08:29:00,"@somexthread Sudah kasih ktp, ijinkan masuk dulu pak, apalagi rumah sendiri, musyawarah cari solusi dirumah warganya bersama rt/rw @DivHumas_Polri coba pak check ini ormas berbaju satpam / bukan 18 1.6K 1.6K 1.6K",212
Detective.bekasi,2025-05-23 08:28:00,Detective.bekasi Detective.bekasi @WargaBekesong · @Puspen_TNI sebagai aparat kalen malu ga sih negara didudukin ormas preman? Apa bodo amat? Oh iya wong jenderakny aja cium tangan dan rebutan selfi 1 3 51 6.3K 6.3K 6.3K,220
Nda !,2025-05-23 08:08:00,Nda ! Nda ! @Naandaa27 · Segenting apakah hingga Jaksa dan keluarganya diberi perlindungan khusus ? Bukannya sdh tugas TNI POLRI menjaga setiap warga negara Indonesia ? Jgn sampai Perpres ini malah dimanfaatkan oleh oknum Jaksa nakal utk berlindung dr kasus hukum ! ----- Pagii Asli Ini DM BreadTalk 4 6 9 1.7K 1.7K 1.7K,320
Bang Jarwo,2025-05-23 08:01:00,Bang Jarwo Bang Jarwo @BangJarwoSopo7 · Bagaimana masyarakat akan percaya dengan penyidik #POLRI yg seperti ini rekam jejaknya. @Poldametrojaya_ Apakah Orang Yang Sama Dan Identik? Hanya Bertanya Konferensi Pers Dirtipidum Bareskrim Polri Brigjen Djuhandhani Rahardjo Puro : “Ijazah Jokowi Identik Dan Telah Di Buktikan KeAsliannya” ? 2 1 2 53,343
TMC Polda Metro Jaya,2025-05-23 07:53:00,TMC Polda Metro Jaya TMC Polda Metro Jaya @TMCPoldaMetro · 07.53 Mobil menabrak pembatas jalan di Jl. Gatot Subroto Jakpus depan DPR/MPR Ri arah Slipi saat ini sudah selesai penanaganan Polri 1 2.1K 2.1K 2.1K,208
Bajingan Kuasai Indonesia,2025-05-23 07:42:00,Bajingan Kuasai Indonesia Bajingan Kuasai Indonesia @MYusufN8 · @STresnowati1 Ijazah jokowi bikin gaduh indonesia Hanya Presiden @prabowo yg bs stop gaduh ijazah palsu jokowi Cara jemput paksa jokowi hadir di pengadilan Smg tegas Penegakkan hukum jokowi Katakan yg benar dan yg salah dengan tegas lugas! @DokterTifa 2 3 5 192,325
SARAH TRESNOWATI,2025-05-23 07:36:00,"SARAH TRESNOWATI SARAH TRESNOWATI @STresnowati1 · Hasil lidik bareskrim polri bukan membikin masarakat mjd tenang , malah sebaliknya makin membuat gaduh . Semoga pak @prabowo sadar yg paling dirugikan adalah kabinet bpk. Investor ga mau masuk . Pribadi bpk, Bpk akan dianggap pemimpin yg tdk kapabel. Jika jokowi lewat orang2",325
Polsek_Seltim,2025-05-23 07:25:00,"Polsek_Seltim Polsek_Seltim @PSeltim · Tokoh Masyarakat Perbekel desa Kediri ( I Wayan Merta Yoga) Kecamatan Kediri ,Kab. Tabanan Sangat Apresiasi Kinerja Polri , Polres Tabanan dalam menjaga Harkamtibmas Yang Kondusif di wilayah Tabanan. #ApresiasiMasyarakat #PolriuntukMasyarakat #PolresTabanan #Poldabali 25 25",313
